price,location,details,features
5 000 000 DH,"Gauthier à
	 					Casablanca","4 chambres, 262 m²",Terrasse
450 000 DH,"Roches Noires à
	 					Casablanca","1 chambre, 30 m²","Ascenseur, Climatisation, Sécurité, Four"
1 895 200 DH,"Californie à
	 					Casablanca","3 chambres, 108 m²","Terrasse, Ascenseur, Concierge, Climatisation, Cuisine équipée, Four"
929 250 DH,"Riviera à
	 					Casablanca","1 chambre, 42 m²","Climatisation, Double vitrage, Cuisine équipée"
1 073 140 DH,"Sidi Maarouf à
	 					Casablanca","1 chambre, 95 m²",
4 200 000 DH,"Anfa à
	 					Casablanca","3 chambres, 189 m²","Piscine, Concierge, Sécurité, Four"
3 900 000 DH,"Racine à
	 					Casablanca","3 chambres, 287 m²","Terrasse, Garage, Ascenseur, Salon européen, Cheminée, Climatisation, Porte blindée, Cuisine équipée"
960 000 DH,"Bernoussi à
	 					Casablanca","3 chambres, 87 m²","Piscine, Climatisation, Sécurité, Cuisine équipée"
À partir de 1 620 000 DH,Casablanca Finance City à Casablanca,N/A,
3 500 000 DH,"Racine à
   						Casablanca","4 chambres, 185 m²","Terrasse, Garage, Ascenseur, Cheminée"
2 100 000 DH,"Les princesses à
   						Casablanca","2 chambres, 96 m²","Terrasse, Garage"
3 500 000 DH,"Maârif à
   						Casablanca","3 chambres, 217 m²","Ascenseur, Climatisation"
8 900 000 DH,"Ain Diab à
   						Casablanca","4 chambres, 540 m²","Jardin, Terrasse, Garage, Piscine, Chambre rangement, Cheminée, Climatisation, Chauffage central, Sécurité, Double vitrage, Cuisine équipée, Réfrigérateur, Four, Micro-ondes"
1 706 230 DH,"Californie à
   						Casablanca","3 chambres, 99 m²","Climatisation, Sécurité, Cuisine équipée, Four"
1 585 000 DH,"Californie à
   						Casablanca","3 chambres, 101 m²","Terrasse, Ascenseur, Concierge, Climatisation, Sécurité, Cuisine équipée, Four"
3 100 000 DH,"Racine à
   						Casablanca","3 chambres, 181 m²","Terrasse, Garage, Ascenseur, Concierge, Chambre rangement, Façade extérieure, Salon Marocain, Salon européen, Cheminée, Climatisation, Cuisine équipée, Four"
190 000 DH,"Lissasfa à
   						Casablanca","2 chambres, 54 m²",Ascenseur
3 500 000 DH,"Gauthier à
   						Casablanca","3 chambres, 220 m²",Cheminée
1 400 000 DH,"Oasis à
   						Casablanca","3 chambres, 90 m²",
1 120 000 DH,"Foncière à
   						Casablanca","1 chambre, 89 m²",
11 300 000 DH,"Ain Diab Extension à
   						Casablanca","4 chambres, 571 m²","Jardin, Terrasse, Vue sur mer, Piscine, Antenne parabolique, Climatisation, Chauffage central, Sécurité, Porte blindée, Cuisine équipée"
1 620 000 DH,"Belvédère à
   						Casablanca","3 chambres, 148 m²","Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Chauffage central, Sécurité, Double vitrage, Cuisine équipée, Four"
2 508 000 DH,"Les princesses à
   						Casablanca","3 chambres, 132 m²",Terrasse
190 000 DH,"Lissasfa à
   						Casablanca","2 chambres, 50 m²",Ascenseur
1 320 000 DH,"Oasis à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Chauffage central, Sécurité, Double vitrage, Porte blindée, Cuisine équipée"
4 800 000 DH,"Racine à
   					Casablanca",N/A,Terrasse
2 000 000 DH,"Al Qods à
   					Casablanca",N/A,"Terrasse, Salon Marocain, Salon européen, Antenne parabolique, Sécurité, Porte blindée"
1 260 000 DH,"Hay Hassani à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Salon Marocain, Climatisation, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
3 850 000 DH,"Maârif Extension à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Salon Marocain, Salon européen, Antenne parabolique, Cheminée, Sécurité, Four"
1 250 000 DH,"Centre Ville à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Salon européen, Climatisation, Chauffage central, Sécurité, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
Prix à consulter,"Mers Sultan à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Cheminée, Chauffage central, Sécurité, Cuisine équipée"
2 500 000 DH,"Hermitage à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Chambre rangement, Façade extérieure, Salon Marocain, Salon européen, Cheminée, Porte blindée"
3 350 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Façade extérieure, Salon européen, Cheminée, Climatisation, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
900 000 DH,"Hay Hassani à
   					Casablanca",N/A,"Ascenseur, Concierge, Sécurité, Cuisine équipée, Four"
