price,location,details,features
1 520 000 DH,"Belvédère à
	 					Casablanca","3 chambres, 111 m²","Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Cuisine équipée, Four"
1 680 000 DH,"Sidi Maarouf à
	 					Casablanca","2 chambres, 125 m²",Ascenseur
770 000 DH,"Oulfa à
	 					Casablanca","2 chambres, 67 m²","Jardin, Terrasse, Garage, Ascenseur, Concierge, Sécurité"
190 000 DH,"Lissasfa à
	 					Casablanca","2 chambres, 55 m²",Ascenseur
7 200 000 DH,"Oulfa à
	 					Casablanca","4 chambres, 377 m²","Piscine, Cheminée"
7 200 000 DH,"Oulfa à
	 					Casablanca","4 chambres, 410 m²","Piscine, Cheminée"
7 200 000 DH,"Oulfa à
	 					Casablanca","4 chambres, 410 m²","Piscine, Cheminée"
1 206 500 DH,"Maârif Extension à
	 					Casablanca","2 chambres, 70 m²","Ascenseur, Climatisation, Cuisine équipée"
À partir de 929 250 DH,Riviera à Casablanca,N/A,
1 620 000 DH,"Belvédère à
   						Casablanca","3 chambres, 148 m²","Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Chauffage central, Sécurité, Double vitrage, Cuisine équipée, Four"
580 000 DH,"Al Azhar à
   						Casablanca","2 chambres, 71 m²","Terrasse, Ascenseur"
1 220 000 DH,"Bourgogne Ouest à
   						Casablanca","2 chambres, 77 m²","Garage, Ascenseur, Concierge, Climatisation, Sécurité, Cuisine équipée, Four"
2 700 000 DH,"Californie à
   						Casablanca","3 chambres, 166 m²","Terrasse, Garage, Ascenseur"
7 200 000 DH,"Oulfa à
   						Casablanca","4 chambres, 377 m²",Piscine
1 471 800 DH,"Californie à
   						Casablanca","2 chambres, 86 m²","Climatisation, Sécurité, Cuisine équipée, Four"
1 150 000 DH,"Belvédère à
   						Casablanca","2 chambres, 99 m²","Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Porte blindée, Cuisine équipée, Four"
953 400 DH,"Hay Hassani à
   						Casablanca","2 chambres, 77 m²","Climatisation, Cuisine équipée, Four"
1 000 650 DH,"Hay Hassani à
   						Casablanca","2 chambres, 66 m²","Climatisation, Cuisine équipée, Four"
1 221 150 DH,"Hay Hassani à
   						Casablanca","3 chambres, 92 m²","Climatisation, Cuisine équipée, Four"
1 218 000 DH,"Hay Hassani à
   						Casablanca","3 chambres, 102 m²","Climatisation, Cuisine équipée, Four"
744 640 DH,"Hay Hassani à
   						Casablanca","2 chambres, 73 m²","Climatisation, Cuisine équipée, Four"
1 980 000 DH,"Ferme Bretonne (Hay Arraha) à
   						Casablanca","3 chambres, 108 m²","Garage, Ascenseur, Concierge, Antenne parabolique, Climatisation, Sécurité, Cuisine équipée, Réfrigérateur, Four, Machine à laver, Micro-ondes"
11 300 000 DH,"Ain Diab Extension à
   						Casablanca","4 chambres, 549 m²","Jardin, Terrasse, Vue sur mer, Piscine, Concierge, Antenne parabolique, Climatisation, Chauffage central, Sécurité, Double vitrage, Cuisine équipée"
1 421 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 105 m²",Ascenseur
830 000 DH,"Hay Palestine à
   					Casablanca",N/A,"Garage, Ascenseur, Concierge, Meublé, Salon Marocain, Antenne parabolique, Climatisation, Chauffage central, Sécurité"
2 000 000 DH,"Al Qods à
   					Casablanca",N/A,"Terrasse, Salon Marocain, Salon européen, Antenne parabolique, Sécurité, Porte blindée"
1 260 000 DH,"Hay Hassani à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Salon Marocain, Climatisation, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
3 850 000 DH,"Maârif Extension à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Salon Marocain, Salon européen, Antenne parabolique, Cheminée, Sécurité, Four"
1 250 000 DH,"Centre Ville à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Salon européen, Climatisation, Chauffage central, Sécurité, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
Prix à consulter,"Mers Sultan à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Cheminée, Chauffage central, Sécurité, Cuisine équipée"
2 500 000 DH,"Hermitage à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Chambre rangement, Façade extérieure, Salon Marocain, Salon européen, Cheminée, Porte blindée"
3 350 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Façade extérieure, Salon européen, Cheminée, Climatisation, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
900 000 DH,"Hay Hassani à
   					Casablanca",N/A,"Ascenseur, Concierge, Sécurité, Cuisine équipée, Four"
1 400 000 DH,"La Vilette à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Sécurité"
