Price,Location,Details
33 000 000 DH,"Anfa Supérieur à
	 					Casablanca","5 chambres, 1200 m²"
1 073 140 DH,"Sidi Maarouf à
	 					Casablanca","1 chambre, 95 m²"
1 390 000 DH,"Belvédère à
	 					Casablanca","2 chambres, 106 m²"
1 400 000 DH,"Oasis à
	 					Casablanca","3 chambres, 90 m²"
972 000 DH,"Aïn Sebaâ à
	 					Casablanca","3 chambres, 81 m²"
1 680 000 DH,"Sidi Maarouf à
	 					Casablanca","2 chambres, 125 m²"
1 420 000 DH,"Californie à
	 					Casablanca","3 chambres, 100 m²"
1 421 000 DH,"Sidi Maarouf à
	 					Casablanca","2 chambres, 105 m²"
À partir de 776 960 DH,Hay Hassani à Casablanca,N/A
1 585 000 DH,"Californie à
   						Casablanca","3 chambres, 101 m²"
1 140 000 DH,"Belvédère à
   						Casablanca","2 chambres, 97 m²"
1 602 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 130 m²"
650 000 DH,"Lissasfa à
   						Casablanca","2 chambres, 64 m²"
935 000 DH,"Bernoussi à
   						Casablanca","3 chambres, 99 m²"
2 650 000 DH,"Racine Extension à
   						Casablanca","3 chambres, 138 m²"
1 490 000 DH,"Belvédère à
   						Casablanca","2 chambres, 108 m²"
1 210 000 DH,"Bourgogne Ouest à
   						Casablanca","2 chambres, 76 m²"
845 000 DH,"Bernoussi à
   						Casablanca","3 chambres, 77 m²"
1 040 000 DH,"Aïn Sebaâ à
   						Casablanca","3 chambres, 86 m²"
934 000 DH,"Oulfa à
   						Casablanca","2 chambres, 147 m²"
1 620 000 DH,"Belvédère à
   						Casablanca","3 chambres, 148 m²"
580 000 DH,"Al Azhar à
   						Casablanca","2 chambres, 71 m²"
1 220 000 DH,"Bourgogne Ouest à
   						Casablanca","2 chambres, 77 m²"
2 700 000 DH,"Californie à
   						Casablanca","3 chambres, 166 m²"
2 000 000 DH,"Al Qods à
   					Casablanca",N/A
1 260 000 DH,"Hay Hassani à
   					Casablanca",N/A
3 850 000 DH,"Maârif Extension à
   					Casablanca",N/A
1 250 000 DH,"Centre Ville à
   					Casablanca",N/A
Prix à consulter,"Mers Sultan à
   					Casablanca",N/A
2 500 000 DH,"Hermitage à
   					Casablanca",N/A
3 350 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A
900 000 DH,"Hay Hassani à
   					Casablanca",N/A
1 400 000 DH,"La Vilette à
   					Casablanca",N/A
2 850 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A
1 872 600 DH,"Californie à
	 					Casablanca","3 chambres, 104 m²"
1 170 000 DH,"Belvédère à
	 					Casablanca","2 chambres, 87 m²"
944 000 DH,"Riviera à
	 					Casablanca","1 chambre, 42 m²"
1 520 000 DH,"Belvédère à
	 					Casablanca","3 chambres, 111 m²"
1 680 000 DH,"Sidi Maarouf à
	 					Casablanca","2 chambres, 125 m²"
770 000 DH,"Oulfa à
	 					Casablanca","2 chambres, 67 m²"
190 000 DH,"Lissasfa à
	 					Casablanca","2 chambres, 55 m²"
7 200 000 DH,"Oulfa à
	 					Casablanca","4 chambres, 377 m²"
À partir de 1 068 000 DH,El Mansouria,N/A
7 200 000 DH,"Oulfa à
   						Casablanca","4 chambres, 377 m²"
1 471 800 DH,"Californie à
   						Casablanca","2 chambres, 86 m²"
1 150 000 DH,"Belvédère à
   						Casablanca","2 chambres, 99 m²"
953 400 DH,"Hay Hassani à
   						Casablanca","2 chambres, 77 m²"
1 000 650 DH,"Hay Hassani à
   						Casablanca","2 chambres, 66 m²"
1 221 150 DH,"Hay Hassani à
   						Casablanca","3 chambres, 92 m²"
1 218 000 DH,"Hay Hassani à
   						Casablanca","3 chambres, 102 m²"
744 640 DH,"Hay Hassani à
   						Casablanca","2 chambres, 73 m²"
1 980 000 DH,"Ferme Bretonne (Hay Arraha) à
   						Casablanca","3 chambres, 108 m²"
11 300 000 DH,"Ain Diab Extension à
   						Casablanca","4 chambres, 549 m²"
1 421 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 105 m²"
1 695 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 138 m²"
1 674 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 136 m²"
2 900 000 DH,"Oasis à
   						Casablanca","3 chambres, 163 m²"
1 130 000 DH,"Belvédère à
   						Casablanca","2 chambres, 89 m²"
880 000 DH,"Lissasfa à
   					Casablanca",N/A
6 500 000 DH,"Vermont à
   					Casablanca",N/A
3 240 000 DH,"Oulfa à
   					Casablanca",N/A
900 000 DH,"Al Qods à
   					Casablanca",N/A
1 200 000 DH,"Les Hôpitaux à
   					Casablanca",N/A
1 270 000 DH,"Les Hôpitaux à
   					Casablanca",N/A
1 250 000 DH,"Sidi Maarouf à
   					Casablanca",N/A
1 300 000 DH,"Hermitage à
   					Casablanca",N/A
930 000 DH,"Laymoune à
   					Casablanca",N/A
Prix à consulter,"Racine à
   					Casablanca",N/A
7 200 000 DH,"Oulfa à
	 					Casablanca","4 chambres, 410 m²"
7 200 000 DH,"Oulfa à
	 					Casablanca","4 chambres, 410 m²"
1 206 500 DH,"Maârif Extension à
	 					Casablanca","2 chambres, 70 m²"
1 620 100 DH,"Maârif Extension à
	 					Casablanca","2 chambres, 87 m²"
1 503 900 DH,"Maârif Extension à
	 					Casablanca","2 chambres, 82 m²"
1 529 000 DH,"Maârif Extension à
	 					Casablanca","2 chambres, 81 m²"
1 583 700 DH,"Maârif Extension à
	 					Casablanca","2 chambres, 84 m²"
1 475 900 DH,"Maârif Extension à
	 					Casablanca","2 chambres, 78 m²"
À partir de 914 940 DH,Errahma,N/A
7 000 DH,"Bernoussi à
   						Casablanca","2 chambres, 59 m²"
2 750 000 DH,"Racine Extension à
   						Casablanca","3 chambres, 160 m²"
16 500 DH,"Sidi Maarouf à
   						Casablanca","1 chambre, 29 m²"
1 580 000 DH,"Mers Sultan à
   						Casablanca","2 chambres, 144 m²"
1 200 000 DH,"Centre Ville à
   						Casablanca","1 chambre, 60 m²"
6 600 000 DH,"Sidi Maarouf à
   						Casablanca","3 chambres, 660 m²"
850 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 81 m²"
800 000 DH,"Laymoune à
   						Casablanca","2 chambres, 65 m²"
1 400 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 100 m²"
Prix à consulter,"Les princesses à
   						Casablanca","1 chambre, 30 m²"
1 900 000 DH,"Casablanca Finance City à
   						Casablanca","1 chambre, 84 m²"
1 480 000 DH,"Les Hôpitaux à
   						Casablanca","3 chambres, 116 m²"
5 100 000 DH,"Californie à
   						Casablanca","4 chambres, 263 m²"
3 100 000 DH,"Casablanca Finance City à
   						Casablanca","3 chambres, 145 m²"
8 198 000 DH,"Californie à
   						Casablanca","5 chambres, 442 m²"
2 500 000 DH,"Hay Tasahol à
   					Casablanca",N/A
1 550 000 DH,"Mers Sultan à
   					Casablanca",N/A
1 000 000 DH,"Oasis à
   					Casablanca",N/A
480 000 DH,"Ain Chock à
   					Casablanca",N/A
1 990 000 DH,"Racine Extension à
   					Casablanca",N/A
Prix à consulter,"Sidi Moumen à
   					Casablanca",N/A
760 000 DH,"Hay Sadri à
   					Casablanca",N/A
2 300 000 DH,"Oasis à
   					Casablanca",N/A
1 100 000 DH,"Hay Palestine à
   					Casablanca",N/A
1 000 000 DH,"Almaz à
   					Casablanca",N/A
1 624 350 DH,"Californie à
	 					Casablanca","2 chambres, 110 m²"
2 104 200 DH,"Californie à
	 					Casablanca","3 chambres, 126 m²"
1 470 000 DH,"Belvédère à
	 					Casablanca","2 chambres, 105 m²"
898 800 DH,"Hay Hassani à
	 					Casablanca","2 chambres, 76 m²"
883 050 DH,"Hay Hassani à
	 					Casablanca","2 chambres, 75 m²"
1 212 750 DH,"Hay Hassani à
	 					Casablanca","3 chambres, 101 m²"
1 171 800 DH,"Hay Hassani à
	 					Casablanca","3 chambres, 104 m²"
771 750 DH,"Hay Hassani à
	 					Casablanca","2 chambres, 71 m²"
À partir de 1 325 610 DH,Dar Bouazza,N/A
1 040 000 DH,"Californie à
   						Casablanca","2 chambres, 70 m²"
1 950 000 DH,"Casablanca Finance City à
   						Casablanca","1 chambre, 85 m²"
1 600 000 DH,"Casablanca Finance City à
   						Casablanca","1 chambre, 80 m²"
1 520 000 DH,"Les princesses à
   						Casablanca","2 chambres, 80 m²"
Prix à consulter,"Val Fleury à
   						Casablanca","1 chambre, 60 m²"
640 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 65 m²"
7 000 DH,"Les Hôpitaux à
   						Casablanca","1 chambre, 54 m²"
1 630 000 DH,"Foncière à
   						Casablanca","2 chambres, 97 m²"
885 000 DH,"Bernoussi à
   						Casablanca","3 chambres, 95 m²"
7 000 DH,"Bernoussi à
   						Casablanca","3 chambres, 81 m²"
7 000 DH,"Bernoussi à
   						Casablanca","3 chambres, 95 m²"
720 000 DH,"Al Azhar à
   						Casablanca","2 chambres, 86 m²"
1 450 000 DH,"Belvédère à
   						Casablanca","3 chambres, 117 m²"
1 320 000 DH,"Californie à
   						Casablanca","2 chambres, 90 m²"
4 080 000 DH,"Anfa à
   						Casablanca","2 chambres, 160 m²"
2 100 000 DH,"Maârif Extension à
   					Casablanca",N/A
1 250 000 DH,"Mers Sultan à
   					Casablanca",N/A
650 000 DH,"Beausite à
   					Casablanca",N/A
3 250 000 DH,"Triangle d'Or à
   					Casablanca",N/A
1 750 000 DH,"Val Fleury à
   					Casablanca",N/A
1 430 000 DH,"Les Hôpitaux à
   					Casablanca",N/A
700 000 DH,"Al Qods à
   					Casablanca",N/A
1 399 000 DH,"Casablanca Finance City à
   					Casablanca",N/A
2 720 000 DH,"Anfa à
   					Casablanca",N/A
790 000 DH,"Maârif à
   					Casablanca",N/A
