price,location,details,features
1 895 200 DH,"Californie à
	 					Casablanca","3 chambres, 108 m²","Terrasse, Ascenseur, Concierge, Climatisation, Cuisine équipée, Four"
929 250 DH,"Riviera à
	 					Casablanca","1 chambre, 42 m²","Climatisation, Double vitrage, Cuisine équipée"
1 866 700 DH,"Californie à
	 					Casablanca","3 chambres, 113 m²","Climatisation, Sécurité, Cuisine équipée, Four"
1 062 700 DH,"Sidi Maarouf à
	 					Casablanca","2 chambres, 112 m²",
33 000 000 DH,"Anfa Supérieur à
	 					Casablanca","5 chambres, 1200 m²","Jardin, Garage, Ascenseur, Vue sur mer, Piscine"
1 073 140 DH,"Sidi Maarouf à
	 					Casablanca","1 chambre, 95 m²",
1 390 000 DH,"Belvédère à
	 					Casablanca","2 chambres, 106 m²","Terrasse, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Chauffage central, Sécurité, Double vitrage, Cuisine équipée, Four"
1 400 000 DH,"Oasis à
	 					Casablanca","3 chambres, 90 m²",
Prix à consulter,Centre Ville à Mohammedia,N/A,
1 706 230 DH,"Californie à
   						Casablanca","3 chambres, 99 m²","Climatisation, Sécurité, Cuisine équipée, Four"
3 900 000 DH,"Anfa à
   						Casablanca","2 chambres, 137 m²","Piscine, Concierge, Four"
1 585 000 DH,"Californie à
   						Casablanca","3 chambres, 101 m²","Terrasse, Ascenseur, Concierge, Climatisation, Sécurité, Cuisine équipée, Four"
1 140 000 DH,"Belvédère à
   						Casablanca","2 chambres, 97 m²","Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Cuisine équipée, Four"
1 602 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 130 m²",Ascenseur
650 000 DH,"Lissasfa à
   						Casablanca","2 chambres, 64 m²","Garage, Ascenseur, Cuisine équipée"
935 000 DH,"Bernoussi à
   						Casablanca","3 chambres, 99 m²","Piscine, Climatisation, Sécurité, Cuisine équipée"
2 650 000 DH,"Racine Extension à
   						Casablanca","3 chambres, 138 m²","Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Climatisation, Cuisine équipée, Four"
1 490 000 DH,"Belvédère à
   						Casablanca","2 chambres, 108 m²","Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Sécurité, Double vitrage, Cuisine équipée, Four"
1 210 000 DH,"Bourgogne Ouest à
   						Casablanca","2 chambres, 76 m²","Garage, Ascenseur, Concierge, Climatisation, Sécurité, Cuisine équipée, Four"
845 000 DH,"Bernoussi à
   						Casablanca","3 chambres, 77 m²","Terrasse, Piscine, Climatisation, Sécurité, Cuisine équipée"
1 040 000 DH,"Aïn Sebaâ à
   						Casablanca","3 chambres, 86 m²",Sécurité
934 000 DH,"Oulfa à
   						Casablanca","2 chambres, 147 m²","Jardin, Terrasse, Garage, Ascenseur, Concierge, Sécurité"
1 620 000 DH,"Belvédère à
   						Casablanca","3 chambres, 148 m²","Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Salon Marocain, Salon européen, Antenne parabolique, Climatisation, Chauffage central, Sécurité, Double vitrage, Cuisine équipée, Four"
580 000 DH,"Al Azhar à
   						Casablanca","2 chambres, 71 m²","Terrasse, Ascenseur"
2 000 000 DH,"Al Qods à
   					Casablanca",N/A,"Terrasse, Salon Marocain, Salon européen, Antenne parabolique, Sécurité, Porte blindée"
1 260 000 DH,"Hay Hassani à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Salon Marocain, Climatisation, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
3 850 000 DH,"Maârif Extension à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Salon Marocain, Salon européen, Antenne parabolique, Cheminée, Sécurité, Four"
1 250 000 DH,"Centre Ville à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Salon européen, Climatisation, Chauffage central, Sécurité, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
Prix à consulter,"Mers Sultan à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Façade extérieure, Cheminée, Chauffage central, Sécurité, Cuisine équipée"
2 500 000 DH,"Hermitage à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Chambre rangement, Façade extérieure, Salon Marocain, Salon européen, Cheminée, Porte blindée"
3 350 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Meublé, Façade extérieure, Salon européen, Cheminée, Climatisation, Cuisine équipée, Réfrigérateur, Four, Machine à laver"
900 000 DH,"Hay Hassani à
   					Casablanca",N/A,"Ascenseur, Concierge, Sécurité, Cuisine équipée, Four"
1 400 000 DH,"La Vilette à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Concierge, Sécurité"
2 850 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A,"Terrasse, Garage, Ascenseur, Cheminée, Climatisation, Sécurité, Double vitrage, Cuisine équipée, Four, Micro-ondes"
